Feature,Importance
ct_state_ttl,0.33678055236583776
sttl,0.2055649597470627
sbytes,0.10767967616856924
dmeansz,0.08512662638089905
smeansz,0.04847879121963965
dpkts,0.039297460198634074
dttl,0.03849570487032705
dbytes,0.03413161362513871
dload,0.02208387141537535
sload,0.018884617080188886
dintpkt,0.016130880071690595
ackdat,0.007235145814595691
synack,0.006296188397278113
tcprtt,0.005904596215362596
dur,0.004940740825884832
sintpkt,0.004104524566370034
sloss,0.0036652343747067165
spkts,0.0033159165306329377
swin,0.0026103747826997153
sjit,0.002178288314089003
dloss,0.0021706536165096582
is_sm_ips_ports,0.0013986098401317462
ct_flw_http_mthd,0.0012124536012745586
djit,0.0009500012005402098
dwin,0.000731314011982759
trans_depth,0.0006312047645779306
