Feature,Min,Max,Mean,StdDev
dur,0.0,8786.6376953125,0.6588634003998185,13.92576763644129
sbytes,0.0,14355774.0,4340.072263330996,56409.39812286242
dbytes,0.0,14657531.0,36432.01132478574,161105.30400824687
sttl,0.0,255.0,62.78149802007214,74.62669956848525
dttl,0.0,254.0,30.770440978384,42.85192218951871
sloss,0.0,5319.0,5.164547223159545,22.518368387797135
dloss,0.0,5507.0,16.331423819534212,56.59789035320468
sload,0.0,5988000256.0,36949279.29101887,118604137.78897673
dload,0.0,128761904.0,2451158.4380010017,4225032.897361636
spkts,0.0,10646.0,33.2925678583508,76.2877558567827
dpkts,0.0,11018.0,42.731821655689814,121.50842004704236
swin,0.0,255.0,150.10695075360107,125.47913122211055
dwin,0.0,255.0,149.76404347060858,125.54062192608471
